Code,Orbit class,Detections,Detection fraction (%),Unique objects,Object fraction (%),Median $g_{\rm aper}$ (mag),Median separation (arcsec)
MBA,Main-belt Asteroid,"51,058",90.80,"14,674",91.41,18.123,0.221
OMB,Outer Main-belt Asteroid,"1,970",3.50,522,3.25,17.893,0.187
TJN,Jupiter Trojan,"1,362",2.42,317,1.97,18.005,0.207
IMB,Inner Main-belt Asteroid,897,1.60,290,1.81,18.315,0.257
MCA,Mars-crossing Asteroid,656,1.17,166,1.03,17.847,0.228
AMO,Amor,139,0.25,31,0.19,17.143,0.227
APO,Apollo,101,0.18,38,0.24,17.749,0.253
TNO,TransNeptunian Object,20,0.04,3,0.02,17.588,0.243
ATE,Aten,19,0.03,8,0.05,17.668,0.292
Other,Other / unclassified,8,0.01,4,0.02,18.223,0.218
